State,Year,Beer,Wine,Spirits
Kentucky,1989,1.08,0.12,0.56
Kentucky,1990,1.12,0.11,0.6
Kentucky,1991,1.11,0.11,0.56
Kentucky,1992,1.04,0.11,0.56
Kentucky,1993,1.08,0.1,0.55
Kentucky,1994,1.08,0.11,0.55
Kentucky,1995,1.05,0.12,0.54
Kentucky,1996,1.05,0.13,0.54
Kentucky,1997,1.06,0.13,0.53
Kentucky,1998,1.07,0.13,0.53
Kentucky,1999,1.07,0.13,0.54
Kentucky,2000,1.07,0.14,0.54
Kentucky,2001,1.04,0.12,0.46
Kentucky,2002,1.08,0.14,0.54
Kentucky,2003,1.03,0.15,0.56
Kentucky,2004,1.07,0.17,0.57
Kentucky,2005,1.05,0.14,0.61
Kentucky,2006,1.04,0.17,0.62
Kentucky,2007,1.05,0.17,0.63
Kentucky,2008,1.03,0.18,0.65
Kentucky,2009,1.11,0.18,0.65
Louisiana,1977,1.3,0.25,1.03
Louisiana,1978,1.35,0.25,1.07
Louisiana,1979,1.36,0.26,1.08
Louisiana,1980,1.41,0.27,1.04
Louisiana,1981,1.48,0.27,1.02
Louisiana,1982,1.49,0.3,1.0
Louisiana,1983,1.43,0.3,1.02
Louisiana,1984,1.4,0.29,0.94
Louisiana,1985,1.35,0.27,0.86
Louisiana,1986,1.39,0.26,0.78
Louisiana,1987,1.36,0.24,0.75
Louisiana,1988,1.44,0.24,0.69
Louisiana,1989,1.43,0.23,0.72
Louisiana,1990,1.53,0.23,0.78
Louisiana,1991,1.52,0.21,0.73
Louisiana,1992,1.55,0.22,0.74
Louisiana,1993,1.53,0.21,0.72
Louisiana,1994,1.45,0.21,0.73
Louisiana,1995,1.55,0.21,0.73
Louisiana,1996,1.5,0.22,0.72
Louisiana,1997,1.5,0.23,0.71
Louisiana,1998,1.5,0.23,0.7
Louisiana,1999,1.54,0.24,0.69
Louisiana,2000,1.5,0.22,0.7
Louisiana,2001,1.49,0.23,0.69
Louisiana,2002,1.33,0.24,0.71
Louisiana,2003,1.42,0.25,0.73
Louisiana,2004,1.39,0.26,0.73
Louisiana,2005,1.47,0.24,0.72
Louisiana,2006,1.61,0.25,0.8
Louisiana,2007,1.57,0.28,0.81
Louisiana,2008,1.56,0.27,0.83
Louisiana,2009,1.5,0.28,0.85
Maine,1977,1.37,0.23,1.04
Maine,1978,1.31,0.27,1.05
Maine,1979,1.3,0.27,1.08
Maine,1980,1.32,0.29,1.06
Maine,1981,1.24,0.28,1.05
Maine,1982,1.3,0.3,1.02
Maine,1983,1.32,0.29,1.03
Maine,1984,1.25,0.31,1.01
Maine,1985,1.29,0.33,0.94
Maine,1986,1.28,0.36,0.91
Maine,1987,1.26,0.38,0.91
Maine,1988,1.28,0.36,0.91
Maine,1989,1.25,0.34,0.85
Maine,1990,1.21,0.31,0.82
Maine,1991,1.18,0.3,0.77
Maine,1992,1.16,0.29,0.78
Maine,1993,1.15,0.29,0.79
Maine,1994,1.13,0.27,0.77
Maine,1995,1.17,0.29,0.72
Maine,1996,1.17,0.33,0.71
Maine,1997,1.15,0.33,0.71
Maine,1998,1.14,0.34,0.68
Maine,1999,1.16,0.37,0.73
Maine,2000,1.17,0.39,0.73
Maine,2001,1.2,0.37,0.69
Maine,2002,1.23,0.39,0.69
Maine,2003,1.24,0.39,0.73
Maine,2004,1.24,0.41,0.76
Maine,2005,1.24,0.41,0.77
Maine,2006,1.26,0.42,0.79
Maine,2007,1.27,0.43,0.8
Maine,2008,1.26,0.42,0.82
Maine,2009,1.24,0.42,0.83
Maryland,1977,1.37,0.3,1.39
Maryland,1978,1.41,0.31,1.38
Maryland,1979,1.43,0.31,1.39
Maryland,1980,1.42,0.33,1.35
Maryland,1981,1.39,0.34,1.33
Maryland,1982,1.27,0.32,1.17
Maryland,1983,1.34,0.35,1.2
Maryland,1984,1.31,0.36,1.17
Maryland,1985,1.31,0.36,1.14
Maryland,1986,1.29,0.39,1.08
Maryland,1987,1.29,0.38,1.07
Maryland,1988,1.26,0.36,1.01
Maryland,1989,1.22,0.34,0.98
Maryland,1990,1.22,0.33,0.96
Maryland,1991,1.15,0.3,0.89
Maryland,1992,1.11,0.29,0.86
Maryland,1993,1.1,0.28,0.8
Maryland,1994,1.09,0.28,0.78
Maryland,1995,1.06,0.28,0.74
Maryland,1996,1.05,0.29,0.74
Maryland,1997,1.05,0.29,0.73
Maryland,1998,1.05,0.3,0.73
Maryland,1999,1.04,0.3,0.74
Maryland,2000,1.04,0.3,0.75
Maryland,2001,1.06,0.3,0.75
Maryland,2002,1.05,0.31,0.75
Maryland,2003,1.02,0.32,0.77
Maryland,2004,1.03,0.33,0.79
Maryland,2005,0.93,0.32,0.85
Maryland,2006,1.02,0.34,0.83
Maryland,2007,1.01,0.36,0.84
Maryland,2008,0.99,0.36,0.85
Maryland,2009,0.97,0.37,0.87
Massachusetts,1977,1.34,0.37,1.24
Massachusetts,1978,1.37,0.4,1.25
Massachusetts,1979,1.39,0.42,1.23
Massachusetts,1980,1.47,0.45,1.27
Massachusetts,1981,1.44,0.49,1.24
Massachusetts,1982,1.35,0.49,1.22
Massachusetts,1983,1.36,0.5,1.21
Massachusetts,1984,1.3,0.51,1.24
Massachusetts,1985,1.3,0.51,1.21
Massachusetts,1986,1.31,0.53,1.12
Massachusetts,1987,1.29,0.51,1.12
Massachusetts,1988,1.29,0.5,1.07
Massachusetts,1989,1.26,0.47,1.02
Massachusetts,1990,1.22,0.45,0.97
Massachusetts,1991,1.19,0.43,0.87
Massachusetts,1992,1.12,0.44,0.82
Massachusetts,1993,1.14,0.44,0.8
Massachusetts,1994,1.14,0.44,0.8
Massachusetts,1995,1.13,0.44,0.78
Massachusetts,1996,1.11,0.48,0.77
Massachusetts,1997,1.13,0.49,0.76
Massachusetts,1998,1.14,0.5,0.75
Massachusetts,1999,1.09,0.51,0.79
Massachusetts,2000,1.16,0.51,0.87
Massachusetts,2001,1.12,0.52,0.78
Massachusetts,2002,1.13,0.54,0.8
Massachusetts,2003,1.1,0.56,0.82
Massachusetts,2004,1.1,0.58,0.84
Massachusetts,2005,1.07,0.59,0.85
Massachusetts,2006,1.1,0.61,0.84
Massachusetts,2007,1.01,0.61,0.86
Massachusetts,2008,1.07,0.62,0.84
Massachusetts,2009,1.02,0.61,0.84
Michigan,1977,1.45,0.24,1.02
Michigan,1978,1.43,0.25,1.05
Michigan,1979,1.37,0.25,1.03
Michigan,1980,1.34,0.28,1.03
Michigan,1981,1.34,0.29,1.0
Michigan,1982,1.35,0.39,0.98
Michigan,1983,1.35,0.28,0.97
Michigan,1984,1.32,0.31,0.97
Michigan,1985,1.3,0.32,0.95
Michigan,1986,1.33,0.33,0.9
Michigan,1987,1.32,0.33,0.85
Michigan,1988,1.31,0.32,0.84
Michigan,1989,1.29,0.3,0.8
Michigan,1990,1.33,0.28,0.8
Michigan,1991,1.3,0.22,0.74
Michigan,1992,1.26,0.22,0.74
Michigan,1993,1.25,0.2,0.72
Michigan,1994,1.23,0.2,0.67
Michigan,1995,1.2,0.19,0.66
Michigan,1996,1.2,0.22,0.67
Michigan,1997,1.17,0.22,0.66
Michigan,1998,1.2,0.22,0.69
Michigan,1999,1.19,0.24,0.68
Michigan,2000,1.19,0.24,0.69
Michigan,2001,1.19,0.24,0.68
Michigan,2002,1.16,0.23,0.68
Michigan,2003,1.17,0.26,0.7
Michigan,2004,1.15,0.28,0.72
Michigan,2005,1.14,0.28,0.75
Michigan,2006,1.12,0.29,0.76
Michigan,2007,1.12,0.3,0.78
Michigan,2008,1.12,0.3,0.8
Michigan,2009,1.1,0.31,0.8
Minnesota,1977,1.3,0.2,1.15
Minnesota,1978,1.31,0.23,1.15
Minnesota,1979,1.35,0.24,1.16
Minnesota,1980,1.4,0.26,1.2
Minnesota,1981,1.39,0.27,1.18
Minnesota,1982,1.36,0.27,1.11
Minnesota,1983,1.37,0.27,1.1
Minnesota,1984,1.34,0.28,1.07
Minnesota,1985,1.31,0.31,1.06
Minnesota,1986,1.3,0.33,0.92
Minnesota,1987,1.31,0.32,0.94
Minnesota,1988,1.3,0.3,0.89
Minnesota,1989,1.28,0.27,0.88
Minnesota,1990,1.32,0.27,0.96
Minnesota,1991,1.3,0.24,0.81
Minnesota,1992,1.25,0.25,0.85
Minnesota,1993,1.24,0.24,0.84
Minnesota,1994,1.27,0.25,0.83
Minnesota,1995,1.24,0.26,0.83
Minnesota,1996,1.25,0.26,0.83
Minnesota,1997,1.23,0.27,0.83
Minnesota,1998,1.16,0.27,0.84
Minnesota,1999,1.23,0.27,0.86
Minnesota,2000,1.24,0.26,0.87
Minnesota,2001,1.25,0.26,0.87
Minnesota,2002,1.25,0.28,0.87
Minnesota,2003,1.21,0.29,0.9
Minnesota,2004,1.23,0.31,0.93
Minnesota,2005,1.18,0.32,0.96
Minnesota,2006,1.15,0.32,0.93
Minnesota,2007,1.16,0.36,0.97
Minnesota,2008,1.21,0.37,1.03
Minnesota,2009,1.19,0.37,1.04
Mississippi,1977,1.08,0.11,0.86
Mississippi,1978,1.16,0.1,0.91
Mississippi,1979,1.15,0.1,0.84
Mississippi,1980,1.13,0.1,0.86
Mississippi,1981,1.19,0.11,0.84
Mississippi,1982,1.19,0.11,0.82
Mississippi,1983,1.19,0.11,0.79
Mississippi,1984,1.19,0.11,0.77
Mississippi,1985,1.21,0.1,0.73
Mississippi,1986,1.26,0.1,0.68
Mississippi,1987,1.26,0.09,0.66
Mississippi,1988,1.28,0.09,0.66
Mississippi,1989,1.26,0.09,0.65
Mississippi,1990,1.34,0.09,0.65
Mississippi,1991,1.32,0.09,0.64
Mississippi,1992,1.35,0.09,0.63
Mississippi,1993,1.37,0.1,0.63
Mississippi,1994,1.28,0.08,0.63
Mississippi,1995,1.36,0.09,0.61
Mississippi,1996,1.37,0.09,0.62
Mississippi,1997,1.37,0.09,0.61
Mississippi,1998,1.4,0.09,0.59
Mississippi,1999,1.45,0.1,0.61
Mississippi,2000,1.44,0.09,0.6
Mississippi,2001,1.39,0.11,0.6
Mississippi,2002,1.4,0.12,0.61
Mississippi,2003,1.4,0.12,0.62
Mississippi,2004,1.39,0.12,0.63
Mississippi,2005,1.4,0.12,0.65
Mississippi,2006,1.46,0.12,0.67
Mississippi,2007,1.46,0.12,0.68
Mississippi,2008,1.45,0.12,0.7
Mississippi,2009,1.41,0.11,0.71
Missouri,1977,1.23,0.19,0.83
Missouri,1978,1.31,0.2,0.89
Missouri,1979,1.37,0.2,0.86
Missouri,1980,1.39,0.2,0.84
Missouri,1981,1.4,0.21,0.83
Missouri,1982,1.38,0.21,0.79
Missouri,1983,1.37,0.22,0.78
Missouri,1984,1.34,0.25,0.68
Missouri,1985,1.33,0.26,0.76
Missouri,1986,1.36,0.28,0.72
Missouri,1987,1.36,0.27,0.72
Missouri,1988,1.33,0.25,0.69
Missouri,1989,1.33,0.22,0.69
Missouri,1990,1.37,0.22,0.7
Missouri,1991,1.35,0.22,0.64
Missouri,1992,1.34,0.21,0.69
Missouri,1993,1.33,0.2,0.67
Missouri,1994,1.36,0.19,0.66
Missouri,1995,1.31,0.2,0.62
Missouri,1996,1.31,0.22,0.57
Missouri,1997,1.3,0.22,0.63
Missouri,1998,1.33,0.23,0.63
Missouri,1999,1.35,0.23,0.66
Missouri,2000,1.35,0.23,0.67
Missouri,2001,1.34,0.23,0.67
Missouri,2002,1.47,0.25,0.67
Missouri,2003,1.33,0.26,0.69
Missouri,2004,1.32,0.26,0.71
Missouri,2005,1.3,0.27,0.72
Missouri,2006,1.33,0.28,0.76
Missouri,2007,1.33,0.3,0.78
Missouri,2008,1.32,0.3,0.8
Missouri,2009,1.3,0.3,0.83
Montana,1977,1.83,0.2,1.1
Montana,1978,1.82,0.2,1.07
Montana,1979,1.83,0.41,1.05
Montana,1980,1.82,0.35,1.04
Montana,1981,1.9,0.33,1.05
Montana,1982,1.82,0.32,1.02
Montana,1983,1.79,0.32,0.99
Montana,1984,1.7,0.32,0.93
Montana,1985,1.6,0.33,0.88
Montana,1986,1.58,0.34,0.81
Montana,1987,1.57,0.33,0.77
Montana,1988,1.59,0.32,0.76
Montana,1989,1.56,0.29,0.72
Montana,1990,1.6,0.29,0.77
Montana,1991,1.61,0.28,0.76
Montana,1992,1.59,0.26,0.75
Montana,1993,1.49,0.25,0.73
Montana,1994,1.57,0.24,0.7
Montana,1995,1.49,0.26,0.78
Montana,1996,1.49,0.27,0.64
Montana,1997,1.49,0.29,0.63
Montana,1998,1.51,0.28,0.65
Montana,1999,1.56,0.29,0.67
Montana,2000,1.55,0.29,0.68
Montana,2001,1.57,0.3,0.68
Montana,2002,1.61,0.33,0.7
Montana,2003,1.55,0.33,0.72
Montana,2004,1.54,0.34,0.74
Montana,2005,1.53,0.35,0.78
Montana,2006,1.64,0.41,0.83
Montana,2007,1.68,0.43,0.86
Montana,2008,1.68,0.44,0.87
Montana,2009,1.66,0.45,0.88
Nebraska,1977,1.45,0.17,0.91
Nebraska,1978,1.47,0.18,0.89
Nebraska,1979,1.5,0.18,0.88
Nebraska,1980,1.56,0.19,0.89
Nebraska,1981,1.57,0.2,0.88
Nebraska,1982,1.5,0.28,0.58
Nebraska,1983,1.49,0.21,0.79
Nebraska,1984,1.44,0.2,0.76
Nebraska,1985,1.4,0.22,0.75
Nebraska,1986,1.38,0.23,0.67
Nebraska,1987,1.4,0.22,0.65
Nebraska,1988,1.37,0.22,0.65
Nebraska,1989,1.37,0.19,0.62
Nebraska,1990,1.41,0.2,0.64
Nebraska,1991,1.4,0.18,0.61
Nebraska,1992,1.37,0.18,0.61
Nebraska,1993,1.37,0.18,0.59
Nebraska,1994,1.39,0.18,0.57
Nebraska,1995,1.35,0.19,0.57
Nebraska,1996,1.35,0.18,0.57
Nebraska,1997,1.35,0.18,0.56
Nebraska,1998,1.39,0.18,0.58
Nebraska,1999,1.42,0.17,0.6
Nebraska,2000,1.44,0.17,0.62
Nebraska,2001,1.43,0.16,0.6
Nebraska,2002,1.45,0.17,0.61
Nebraska,2003,1.42,0.18,0.63
Nebraska,2004,1.43,0.19,0.64
Nebraska,2005,1.41,0.2,0.68
Nebraska,2006,1.43,0.21,0.71
Nebraska,2007,1.45,0.21,0.67
Nebraska,2008,1.47,0.21,0.68
Nebraska,2009,1.46,0.2,0.68
Nevada,1977,2.15,0.83,3.85
Nevada,1978,2.2,0.85,3.65
Nevada,1979,2.28,0.88,3.28
Nevada,1980,2.09,0.79,2.94
Nevada,1981,2.08,0.8,2.71
Nevada,1982,1.99,0.77,2.5
Nevada,1983,1.98,0.79,2.45
Nevada,1984,2.01,0.82,2.36
Nevada,1985,1.96,0.84,2.18
Nevada,1986,2.07,0.88,2.11
Nevada,1987,2.05,0.84,2.09
Nevada,1988,2.13,0.78,2.0
Nevada,1989,2.18,0.73,1.92
Nevada,1990,2.17,0.69,1.92
Nevada,1991,2.05,0.63,1.63
Nevada,1992,2.02,0.62,1.61
Nevada,1993,1.95,0.58,1.54
Nevada,1994,1.93,0.57,1.51
Nevada,1995,1.87,0.58,1.39
Nevada,1996,1.91,0.59,1.39
Nevada,1997,1.84,0.58,1.3
Nevada,1998,1.8,0.58,1.23
Nevada,1999,1.82,0.63,1.29
Nevada,2000,1.79,0.62,1.26
Nevada,2001,1.81,0.6,1.22
Nevada,2002,1.75,0.61,1.24
Nevada,2003,1.76,0.62,1.25
Nevada,2004,1.75,0.64,1.26
Nevada,2005,1.71,0.62,1.23
Nevada,2006,1.74,0.66,1.3
Nevada,2007,1.71,0.64,1.27
Nevada,2008,1.68,0.63,1.33
Nevada,2009,1.57,0.58,1.15
New Hampshire,1977,1.89,0.5,2.93
New Hampshire,1978,1.99,0.54,2.94
New Hampshire,1979,1.98,0.62,2.61
New Hampshire,1980,2.21,0.69,2.86
New Hampshire,1981,1.89,0.59,2.44
New Hampshire,1982,1.89,0.58,2.34
New Hampshire,1983,2.17,0.56,2.35
New Hampshire,1984,1.99,0.59,2.33
New Hampshire,1985,1.99,0.53,2.21
New Hampshire,1986,1.93,0.52,2.06
New Hampshire,1987,1.93,0.5,1.98
New Hampshire,1988,1.91,0.49,1.94
New Hampshire,1989,1.87,0.5,1.99
New Hampshire,1990,1.85,0.49,1.97
New Hampshire,1991,1.85,0.49,1.96
New Hampshire,1992,1.81,0.52,1.96
New Hampshire,1993,1.83,0.54,2.01
New Hampshire,1994,1.75,0.48,1.9
New Hampshire,1995,1.74,0.51,1.87
New Hampshire,1996,1.73,0.55,1.85
New Hampshire,1997,1.73,0.55,1.76
New Hampshire,1998,1.72,0.54,1.73
New Hampshire,1999,1.75,0.56,1.7
New Hampshire,2000,1.75,0.56,1.69
New Hampshire,2001,1.74,0.65,1.61
New Hampshire,2002,1.73,0.69,1.63
New Hampshire,2003,1.72,0.7,1.61
New Hampshire,2004,1.71,0.7,1.65
New Hampshire,2005,1.72,0.71,1.68
New Hampshire,2006,1.73,0.72,1.76
New Hampshire,2007,1.74,0.74,1.75
New Hampshire,2008,1.71,0.81,1.79
New Hampshire,2009,1.72,0.84,1.82
New Jersey,1977,1.16,0.4,1.13
New Jersey,1978,1.17,0.42,1.1
New Jersey,1979,1.18,0.43,1.1
New Jersey,1980,1.23,0.47,1.13
New Jersey,1981,1.22,0.51,1.15
New Jersey,1982,1.22,0.52,1.13
New Jersey,1983,1.21,0.52,1.13
New Jersey,1984,1.19,0.55,1.1
New Jersey,1985,1.18,0.55,1.08
New Jersey,1986,1.18,0.56,1.03
New Jersey,1987,1.18,0.54,1.01
New Jersey,1988,1.15,0.51,0.93
New Jersey,1989,1.13,0.5,0.96
New Jersey,1990,1.15,0.48,0.95
New Jersey,1991,1.09,0.43,0.82
New Jersey,1992,1.07,0.44,0.83
New Jersey,1993,1.07,0.42,0.79
New Jersey,1994,1.04,0.43,0.79
New Jersey,1995,1.03,0.44,0.75
New Jersey,1996,1.0,0.44,0.76
New Jersey,1997,0.98,0.42,0.74
New Jersey,1998,0.98,0.46,0.69
New Jersey,1999,0.97,0.46,0.71
New Jersey,2000,0.96,0.47,0.77
New Jersey,2001,0.99,0.47,0.75
New Jersey,2002,0.98,0.49,0.77
New Jersey,2003,0.95,0.5,0.79
New Jersey,2004,0.96,0.52,0.82
New Jersey,2005,0.95,0.51,0.82
New Jersey,2006,0.94,0.53,0.84
New Jersey,2007,0.93,0.55,0.86
New Jersey,2008,0.94,0.55,0.86
New Jersey,2009,0.92,0.57,0.87
New Mexico,1977,1.65,0.32,0.96
New Mexico,1978,1.68,0.32,0.98
New Mexico,1979,1.71,0.3,1.01
New Mexico,1980,1.66,0.32,1.0
New Mexico,1981,1.74,0.32,0.95
New Mexico,1982,1.72,0.34,0.94
New Mexico,1983,1.72,0.31,0.98
New Mexico,1984,1.71,0.28,0.76
New Mexico,1985,1.7,0.36,0.77
New Mexico,1986,1.64,0.35,0.7
New Mexico,1987,1.63,0.35,0.67
New Mexico,1988,1.63,0.33,0.67
New Mexico,1989,1.64,0.29,0.65
New Mexico,1990,1.68,0.28,0.68
New Mexico,1991,1.64,0.26,0.64
New Mexico,1992,1.56,0.25,0.66
New Mexico,1993,1.53,0.23,0.63
New Mexico,1994,1.46,0.19,0.6
New Mexico,1995,1.56,0.24,0.6
New Mexico,1996,1.55,0.24,0.59
New Mexico,1997,1.51,0.24,0.58
New Mexico,1998,1.49,0.24,0.58
New Mexico,1999,1.53,0.25,0.59
New Mexico,2000,1.53,0.25,0.61
New Mexico,2001,1.54,0.25,0.61
New Mexico,2002,1.53,0.26,0.61
New Mexico,2003,1.52,0.27,0.61
New Mexico,2004,1.45,0.25,0.66
New Mexico,2005,1.48,0.29,0.67
New Mexico,2006,1.38,0.31,0.7
New Mexico,2007,1.41,0.31,0.71
New Mexico,2008,1.43,0.31,0.72
New Mexico,2009,1.37,0.32,0.74
New York,1977,1.18,0.38,1.17
New York,1978,1.18,0.42,1.17
New York,1979,1.21,0.44,1.17
New York,1980,1.28,0.46,1.18
New York,1981,1.25,0.46,1.12
New York,1982,1.26,0.48,1.1
New York,1983,1.23,0.49,1.05
New York,1984,1.15,0.49,1.03
New York,1985,1.14,0.49,0.98
New York,1986,1.13,0.5,0.92
New York,1987,1.15,0.48,0.9
New York,1988,1.15,0.45,0.87
New York,1989,1.12,0.42,0.82
New York,1990,1.13,0.41,0.76
New York,1991,1.09,0.37,0.69
New York,1992,1.04,0.37,0.68
New York,1993,1.0,0.35,0.62
New York,1994,0.98,0.35,0.6
New York,1995,0.98,0.38,0.57
New York,1996,0.97,0.36,0.57
New York,1997,0.94,0.37,0.57
New York,1998,0.95,0.38,0.51
New York,1999,0.93,0.37,0.56
New York,2000,0.92,0.38,0.58
New York,2001,0.96,0.37,0.56
New York,2002,0.95,0.38,0.59
New York,2003,0.93,0.4,0.61
New York,2004,0.91,0.41,0.62
New York,2005,0.9,0.43,0.64
New York,2006,0.88,0.45,0.65
New York,2007,0.92,0.46,0.68
New York,2008,0.92,0.47,0.67
New York,2009,0.91,0.46,0.69
North Carolina,1977,1.01,0.2,0.84
North Carolina,1978,1.06,0.2,0.86
North Carolina,1979,1.08,0.22,0.88
North Carolina,1980,1.11,0.2,0.86
North Carolina,1981,1.1,0.21,0.86
North Carolina,1982,1.07,0.21,0.85
North Carolina,1983,1.1,0.22,0.8
North Carolina,1984,1.11,0.24,0.78
North Carolina,1985,1.09,0.27,0.76
North Carolina,1986,1.12,0.3,0.74
North Carolina,1987,1.11,0.28,0.71
North Carolina,1988,1.12,0.28,0.68
North Carolina,1989,1.13,0.27,0.66
North Carolina,1990,1.16,0.27,0.65
North Carolina,1991,1.11,0.24,0.6
North Carolina,1992,1.14,0.23,0.59
North Carolina,1993,1.14,0.22,0.56
North Carolina,1994,1.14,0.21,0.54
North Carolina,1995,1.12,0.22,0.53
North Carolina,1996,1.14,0.24,0.52
North Carolina,1997,1.15,0.23,0.51
North Carolina,1998,1.13,0.23,0.5
North Carolina,1999,1.16,0.24,0.51
North Carolina,2000,1.19,0.23,0.52
North Carolina,2001,1.23,0.25,0.51
North Carolina,2002,1.25,0.27,0.5
North Carolina,2003,1.21,0.27,0.52
North Carolina,2004,1.17,0.3,0.53
North Carolina,2005,1.13,0.3,0.54
North Carolina,2006,1.15,0.33,0.55
North Carolina,2007,1.16,0.33,0.56
North Carolina,2008,1.14,0.34,0.58
North Carolina,2009,1.1,0.34,0.58
North Dakota,1977,1.35,0.15,1.12
North Dakota,1978,1.45,0.16,1.15
North Dakota,1979,1.45,0.16,1.1
